,Modeled_Diameter,Age,Tree_Density,Temperature,Aridity,Modeled_Biomass,Lat,Long
237,5.149276688,40,2000,18.625,1.0147,8456.5627,3441678.176,-47970.85348
238,5.158565446,40,2000,18.6417007,1.0148,8548.009105,3441678.176,-47063.53232
239,5.068495303,40,2000,18.6457996,1.0137,8460.241698,3441678.176,-46156.21115
240,5.084080036,40,2000,18.6166992,1.0142,8449.219074,3441678.176,-45248.88998
241,5.210713288,40,2000,18.5792007,1.017,8913.86472,3441678.176,-41619.6053
242,5.221044416,40,2000,18.5667,1.0188,8846.418728,3441678.176,-40712.28413
243,5.06907504,40,2000,18.5541992,1.017,8282.345759,3441678.176,-39804.96296
244,5.136781869,40,2000,18.5708008,1.0097,8612.435906,3441678.176,-38897.6418
245,5.242585737,40,2000,18.5832996,1.0113,8803.698371,3441678.176,-37990.32063
246,5.230067806,40,2000,18.5792007,1.0089,8849.247144,3441678.176,-37082.99946
247,5.191038917,40,2000,18.5708008,1.007,8763.714579,3441678.176,-36175.67829
248,5.067631394,40,2000,18.5125008,1.0069,8522.02934,3441678.176,-35268.35712
249,5.138738184,40,2000,18.5125008,1.0111,8515.000141,3441678.176,-34361.03595
250,5.180337856,40,2000,18.5249996,1.0081,8719.630375,3441678.176,-32546.39361
251,5.235748868,40,2000,18.6208,0.9909,8959.556264,3441678.176,-28917.10894
252,5.135405377,40,2000,18.5,0.9994,8625.897746,3441678.176,-28009.78777
253,5.155529889,40,2000,18.4750004,1.007,8771.30894,3441678.176,-27102.4666
254,5.160973046,40,2000,18.5417004,1.0008,8692.088847,3441678.176,-24380.5031
255,5.302872531,40,2000,18.5832996,0.9945,9433.631922,3441678.176,-22565.86076
256,5.133191031,40,2000,18.5083008,1.0007,8581.679498,3441678.176,-20751.21842
257,5.133392692,40,2000,18.7957993,1.0644,8148.170339,3440770.855,-130537.0798
258,5.01109144,40,2000,18.7667007,1.072,8099.480547,3440770.855,-129629.7587
259,4.942025766,40,2000,18.7458,1.069,7861.009799,3440770.855,-126907.7952
260,4.926449976,40,2000,18.7374992,1.0679,7667.5909,3440770.855,-126000.474
261,4.994191978,40,2000,18.7542,1.0643,7725.226647,3440770.855,-125093.1528
262,4.966280848,40,2000,18.7917004,1.0641,7908.089399,3440770.855,-124185.8317
263,4.972410643,40,2000,18.7042007,1.0711,7844.37435,3440770.855,-123278.5105
264,5.003620707,40,2000,18.7957993,1.0607,8096.973196,3440770.855,-116927.2623
265,4.958594845,40,2000,18.8292007,1.064,7895.261805,3440770.855,-116019.9411
266,4.937708038,40,2000,18.75,1.0651,7707.36492,3440770.855,-110576.0141
267,5.076615069,40,2000,18.7082996,1.0646,8235.836875,3440770.855,-107854.0506
268,5.032118472,40,2000,18.7999992,1.0556,8082.047233,3440770.855,-106946.7295
269,4.8936248,40,2000,18.7250004,1.0655,7642.616142,3440770.855,-105132.0871
270,4.961961364,40,2000,18.7416992,1.0701,7957.713189,3440770.855,-104224.7659
271,5.038580472,40,2000,18.8374996,1.0543,7936.626154,3440770.855,-103317.4448
272,5.0708061,40,2000,18.8582993,1.0534,8362.66586,3440770.855,-102410.1236
273,4.962532341,40,2000,18.875,1.056,7968.872445,3440770.855,-101502.8024
274,5.00793044,40,2000,18.8792,1.0516,8112.019596,3440770.855,-100595.4813
275,5.069762063,40,2000,18.9542007,1.0513,8210.537331,3440770.855,-99688.1601
276,5.041477969,40,2000,18.9458008,1.0554,8214.234711,3440770.855,-94244.23309
277,4.984215451,40,2000,18.8666992,1.0688,7997.277711,3440770.855,-93336.91192
278,5.142693397,40,2000,18.7374992,1.0704,8298.647589,3440770.855,-92429.59075
279,4.889040109,40,2000,18.7957993,1.0671,7532.241878,3440770.855,-91522.26959
280,4.950295877,40,2000,18.7416992,1.0627,7855.947558,3440770.855,-83356.37907
281,5.027283678,40,2000,18.7625008,1.0575,8049.200043,3440770.855,-81541.73673
282,4.833537006,40,2000,18.75,1.0612,7477.571552,3440770.855,-80634.41556
283,4.96394887,40,2000,18.6583004,1.0651,7741.433895,3440770.855,-79727.09439
284,4.928334803,40,2000,18.6000004,1.0666,7664.702572,3440770.855,-77912.45205
285,4.971587016,40,2000,18.6292,1.0604,7821.350538,3440770.855,-77005.13088
286,4.957671737,40,2000,18.6625004,1.0575,7785.161493,3440770.855,-76097.80972
287,5.142831658,40,2000,18.6958008,1.05,8535.611948,3440770.855,-75190.48855
288,5.019662806,40,2000,18.7082996,1.0495,8185.55056,3440770.855,-74283.16738
289,5.094545962,40,2000,18.6833,1.0477,8303.28081,3440770.855,-73375.84621
290,5.05603736,40,2000,18.7000008,1.0484,8180.264796,3440770.855,-72468.52504
291,5.135815892,40,2000,18.6417007,1.0497,8435.612794,3440770.855,-71561.20387
292,5.023422493,40,2000,18.6042004,1.0501,8028.047728,3440770.855,-70653.8827
293,5.056976941,40,2000,18.6124992,1.0492,8185.295298,3440770.855,-69746.56153
294,5.105896607,40,2000,18.6208,1.051,8363.728177,3440770.855,-68839.24037
295,5.151063475,40,2000,18.6375008,1.045,8503.744658,3440770.855,-67931.9192
296,5.118851506,40,2000,18.6667004,1.0393,8349.481674,3440770.855,-67024.59803
